Country,CovidDeaths,Over65percnt,HospitalBeds,GINI,Obesity rate,Latitude,Death per million,BCG
Australia,4,15.6564752275591,3.8,35.8,29,-25.274398,0.247059904779819,Discontinued
Austria,74.725,19.0015664595899,7.7,30.5,20.1,47.516231,42.6363569542452,Discontinued
Belgium,830.83,18.7887437383395,6.4,27.7,22.1,50.503887,358.682935588155,No
Brazil,186.677,8.92283783244003,2.3,53.3,22.1,-14.235004,133.912897770704,Yes
Canada,210.905,17.2320066788651,2.7,34,29.4,56.130366,241.304874144677,Discontinued
Chile,129.471,11.5298016568816,2.1,46.6,28,-35.675147,4.8126717227968,Yes
China,3.222,10.9208835350654,3.8,38.6,6.2,35.86166,2.38445307249618,Yes
Denmark,102.379,19.8129526369902,3.1,28.2,19.7,56.26392,51.6211278543117,Discontinued
Ecuador,210.848,7.15728972666108,1.6,44.7,19.9,-1.831239,20.9147463925463,Yes
Finland,58.476,21.7207875455222,5.5,27.1,22.2,61.92411,11.5508453774961,Discontinued
France,449.171,20.0346247469881,6.6,32.7,21.6,46.227638,240.970644278657,Discontinued
Germany,104.495,21.4619619953309,8.2,31.7,22.3,51.165691,41.714437356027,Discontinued
Greece,17.557,21.6552720778435,4.5,36,24.9,39.074208,9.69005821134573,Yes
Iceland,29.304,14.7950925565689,3.3,27.8,21.9,64.963051,23.4464526982471,No
India,5.871,6.17995564947149,0.7,35.7,3.9,20.593684,0.286955609927283,Yes
Indonesia,7.162,5.85716561272863,?,38.1,6.9,-0.789275,1.69046069897088,Yes
Iran,101.27,6.18457380562499,1.7,40,25.8,32.427908,55.7546800743953,Yes
Ireland,343.271,13.8658017012923,2.9,31.8,25.3,53.41291,82.2230854071035,Yes
Israel,34.544,11.9769860249625,3.1,38.9,26.1,31.046051,14.5571590895306,Discontinued
Italy,564.224,22.7516796025077,3.5,35.4,19.9,41.87194,348.434729708626,No
Japan,7.274,27.576369910355,?,32.1,4.3,36.204824,1.15436500077275,Yes
Malaysia,3.646,6.67175462547886,1.79,41,15.6,4.210484,2.53352291087941,Yes
Netherlands,352.614,19.1961926333387,?,28.2,20.4,52.132633,171.871724515946,No
Norway,44.086,17.0492221563211,4.2,27.5,23.1,60.472024,27.6826201540229,Discontinued
Pakistan,10.666,4.31277431133756,0.6,33.5,8.6,30.375321,0.484398958225343,Yes
Poland,31.865,17.5178167625452,6.5,31.8,23.1,51.919438,6.94910305178976,Yes
Portugal,146.616,21.9538575375873,3.4,35.5,20.8,39.399872,55.606176463406,Yes
Romania,70.695,18.3387013938296,6.1,35.9,22.5,45.943161,18.5573206264723,Yes
Spain,580.39,19.3785075224995,3.1,36.2,23.8,40.463667,390.474785253841,Discontinued
Sweden,474.787,20.0955249278002,2.7,29.2,20.6,60.128161,102.284671211222,Discontinued
Switzerland,193.423,18.6232165647717,4.9,32.3,19.5,46.818188,135.250390087557,No
Thailand,0.831,11.9008931395893,?,36.5,10,15.870032,0.616046039441445,Yes
Turkey,56.273,8.4832129399716,2.5,41.9,32.1,38.963745,16.6352326378,Yes
United Kingdom,605.839,18.3958656741466,2.9,33.2,27.8,55.378051,178.343075718501,Discontinued
